country_iso3,hazard,version,doc_title,doc_url,analysis_ref,source,note
NER,drought,2022-08-04,"Cadre de l'AA pilote au Niger : secheresse - version approuvee du 4 aout 2022",https://reliefweb.int/report/niger/cadre-de-laction-anticipatoire-pilote-au-niger-secheresse-version-approvee-du-4-aout-2022,pa-anticipatory-action@develop:analyses/ner/NER_trigger_report.Rmd,ocha-web,second endorsement; observational trigger fired Aug 2022; a Dec-2022 'trimmed framework' report exists (pa-anticipatory-action@ner-2023-perf-check:analyses/ner/NER_trigger_report_2023.Rmd) but no endorsed doc found - not a version under the strict rule
TCD,drought,2022-10-24,"Cadre de l'AA pilote au Tchad : secheresse - version finale du 24 octobre 2022",https://reliefweb.int/report/chad/cadre-de-laction-anticipatoire-pilote-au-tchad-secheresse-version-finale-du-24-octobre-2022,pa-anticipatory-action@develop:analyses/tcd/metrics/TCD_trigger_report.Rmd,ocha-web,"3-trigger design w/ budgets (T1 $3.71m, T2 $1.66m, T3 Biomasse $4.63m); live-monitored 2023 (branch feature/tcd-bfa-2023-monitoring)"
COD,cholera,2022-12-07,"Cadre d'AA pilote RDC : cholera - version preliminaire 4 du 7 decembre 2022",https://reliefweb.int/report/democratic-republic-congo/cadre-daction-anticipatoire-i-pilote-au-republique-democratique-du-congo-cholera-i-version-preliminaire-4-du-7-decembre-2022,,ocha-web,a unocha-hosted 'DRC Cholera_Final.pdf' seen Mar-Jul 2023 is likely the finalized same version; pre-dates KB's earliest COD (2025-03-11) despite 2023 activations
NPL,flood,2023-09,"2023 Addendum to the 2022 AA Framework for Floods in Nepal",https://reliefweb.int/report/nepal/addendum-2022-anticipatory-action-framework-floods-nepal-september-2023,,ocha-web,addendum rather than full framework doc
BGD,flood,2023-10-24,"AA Framework: Bangladesh Monsoon Floods - 2023 version",https://reliefweb.int/report/bangladesh/anticipatory-action-framework-bangladesh-monsoon-floods-2023-version,,ocha-web,
FJI,storm,2023-11-15,"Fiji Tropical Cyclones 2023 AA Framework (2023-2025)",https://reliefweb.int/report/fiji/fiji-tropical-cyclones-2023-anticipatory-action-framework,,ocha-web,pre-dates the KB's fji-storms 2025-12-17
BFA,drought,2024-02-28,"Cadre de l'AA pilote de la secheresse au Burkina Faso - version 2024",https://reliefweb.int/report/burkina-faso/cadre-de-laction-anticipatoire-pilote-de-la-secheresse-au-burkina-faso-version-2024,,ocha-web,document date Feb 2024; posted Sep 2024
BGD,storm,2024-03-11,"AA Framework: Bangladesh Cyclones - 2023",https://reliefweb.int/report/bangladesh/anticipatory-action-framework-bangladesh-cyclones-2023,,ocha-web,title says 2023; published 2024-03-11; pre-dates KB bgd-cyclone 2025-04-25
SLV,drought,2024-03-22,"AA Framework Dry Corridor El Salvador",https://reliefweb.int/report/el-salvador/anticipatory-action-framework-dry-corridor-el-salvador,,ocha-web,per-country predecessor of the regional lac-dry-corridor 2025-02 framework
GTM,drought,2024-03-22,"AA Framework Dry Corridor Guatemala",https://reliefweb.int/report/guatemala/anticipatory-action-framework-dry-corridor-guatemala,,ocha-web,per-country predecessor of the regional lac-dry-corridor 2025-02 framework
HND,drought,2024-03-22,"AA Framework Dry Corridor Honduras",https://reliefweb.int/report/honduras/anticipatory-action-framework-dry-corridor-honduras,,ocha-web,per-country predecessor of the regional lac-dry-corridor 2025-02 framework
PHL,storm,2024-09-13,"Anticipatory Action Framework Philippines 2024",https://reliefweb.int/report/philippines/anticipatory-action-framework-philippines-2024,,ocha-web,KB jumps 2023 -> 2025-10-03
TCD,flood,2024-09-26,"Cadre de l'AA inondations au Tchad - version finale du 26 septembre 2024",https://reliefweb.int/report/chad/cadre-de-laction-anticipatoire-inondations-au-tchad-version-finale-du-26-septembre-2024,,ocha-web,pre-dates KB tcd-flooding 2025-07-31
NER,flood,2024-11-19,"Cadre d'AA au Niger : inondations 2024",https://reliefweb.int/report/niger/cadre-daction-anticipatoire-au-niger-inondations-2024,,ocha-web,pre-dates KB ner-flooding 2025-11-04
MOZ,storm,2025-01-09,"Mozambique AA and Early Response Framework - Cyclones, 9 January 2025",https://reliefweb.int/report/mozambique/mozambique-anticipatory-action-and-early-response-framework-cyclones-9-january-2025,,ocha-web,predecessor of the KB's moz-cyclones 2026-01-09
BFA,drought,2025-02-28,"Cadre de l'AA secheresse au Burkina Faso - fevrier 2025",https://reliefweb.int/report/burkina-faso/cadre-de-laction-anticipatoire-secheresse-au-burkina-faso-fevrier-2025,,ocha-web,document date Feb 2025 (posted Sep 2025); resolves the Feb-2025 revision Julia reported with no KB page
AFG,drought,2025-04-25,"Afghanistan: AA Framework for Drought - 2025",https://reliefweb.int/report/afghanistan/afghanistan-anticipatory-action-framework-drought-2025,,ocha-web,pre-dates KB afg-drought 2026-04-04; KB has AFG '2025' as a PRE_KB prior version in the crosswalk only
